step,train_loss,val_loss,lr
0,4.12577073097229,4.129354238510132,0.0003
250,2.5888744163513184,2.6029245233535767,0.0003
500,2.3958812141418457,2.4098480701446534,0.0003
750,2.3173178148269655,2.329532380104065,0.0003
1000,2.2348231935501097,2.2549664688110354,0.0003
1250,2.1578035736083985,2.1824656772613524,0.0003
1500,2.0797728443145753,2.1244890594482424,0.0003
1750,2.0058188605308533,2.063768198490143,0.0003
2000,1.9614679074287416,2.041923310756683,0.0003
2250,1.906710789203644,1.9953595972061158,0.0003
2500,1.878348069190979,1.9847017669677733,0.0003
2750,1.8438824677467347,1.9627074074745179,0.0003
3000,1.8002692461013794,1.9562317943572998,0.0003
3250,1.7770879316329955,1.9274098587036133,0.0003
3500,1.7584574127197266,1.9033800053596497,0.0003
3750,1.7325673079490662,1.8969459772109984,0.0003
4000,1.7125730466842652,1.8723114347457885,0.0003
4250,1.70287682056427,1.8787144136428833,0.0003
4500,1.6742699933052063,1.8602334403991698,0.0003
4750,1.673498933315277,1.848579661846161,0.0003
4999,1.6742217755317688,1.8343197345733642,0.0003
